student_id,sleep_hours,stress_score,year_level,study_habit_group
S001,5.9,23.8,1,cramming
S002,6.6,18.4,2,mixed
S003,7.3,14.4,3,distributed
S004,5.7,31.1,4,cramming
S005,8.1,6.1,1,distributed
S006,5.5,30.2,2,cramming
S007,5.3,31.2,3,mixed
S008,6.6,16.1,4,distributed
S009,6.2,23.8,1,mixed
S010,7.0,14.7,2,distributed
S011,6.9,28.3,3,cramming
S012,5.7,26.9,4,mixed
S013,6.7,17.6,1,cramming
S014,8.4,20.3,2,mixed
S015,7.7,22.0,3,distributed
S016,6.6,29.7,4,cramming
S017,7.8,12.4,1,distributed
S018,6.6,15.6,2,cramming
S019,6.8,24.2,3,mixed
S020,8.4,19.1,4,distributed
S021,5.3,21.8,1,mixed
S022,7.1,7.5,2,distributed
S023,4.5,32.3,3,cramming
S024,6.8,24.1,4,mixed
S025,5.1,13.2,1,cramming
S026,8.1,12.8,2,mixed
S027,7.9,18.1,3,distributed
S028,6.3,25.0,4,cramming
S029,6.4,13.4,1,distributed
S030,6.5,21.8,2,cramming
S031,,9.4,3,mixed
S032,6.8,23.4,4,distributed
S033,6.7,13.6,1,mixed
S034,8.9,9.7,2,distributed
S035,6.1,25.8,3,cramming
S036,7.0,29.4,4,mixed
S037,5.8,,1,cramming
S038,5.3,13.3,2,mixed
S039,6.1,16.6,3,distributed
S040,6.9,26.0,4,cramming
S041,6.8,14.3,1,distributed
S042,6.2,21.3,2,cramming
S043,6.9,21.0,3,mixed
S044,6.9,26.7,4,distributed
S045,7.5,17.7,1,mixed
S046,5.8,17.5,2,distributed
S047,6.1,24.1,3,cramming
S048,7.3,28.3,4,mixed
S049,6.1,22.1,1,cramming
S050,6.8,19.9,2,mixed
S051,7.9,12.6,3,distributed
S052,7.2,27.6,4,cramming
S053,8.6,6.0,1,distributed
S054,6.6,22.3,2,cramming
S055,7.7,13.5,3,mixed
S056,6.9,15.7,4,distributed
S057,5.4,16.9,1,mixed
S058,7.1,17.6,2,distributed
S059,5.5,24.3,3,cramming
S060,7.3,17.7,4,mixed
S061,6.6,29.6,1,cramming
S062,,6.0,2,mixed
S063,6.9,28.6,3,distributed
S064,6.3,21.5,4,cramming
S065,7.0,14.0,1,distributed
S066,6.5,14.9,2,cramming
S067,7.0,21.5,3,mixed
S068,6.9,22.8,4,distributed
S069,5.6,29.5,1,mixed
S070,5.7,18.8,2,distributed
S071,7.0,33.8,3,cramming
S072,5.9,26.1,4,mixed
S073,6.1,25.7,1,cramming
S074,6.9,,2,mixed
S075,7.8,20.7,3,distributed
S076,5.6,32.7,4,cramming
S077,6.3,13.2,1,distributed
S078,6.8,20.9,2,cramming
S079,8.4,12.4,3,mixed
S080,6.8,17.4,4,distributed
S081,5.6,25.3,1,mixed
S082,7.1,16.2,2,distributed
S083,5.5,25.4,3,cramming
S084,5.9,23.4,4,mixed
S085,6.3,17.8,1,cramming
S086,5.6,26.9,2,mixed
S087,6.4,15.8,3,distributed
S088,6.5,30.8,4,cramming
S089,6.2,13.9,1,distributed
S090,5.8,20.6,2,cramming
S091,7.2,13.8,3,mixed
S092,7.3,14.8,4,distributed
S093,,21.1,1,mixed
S094,6.4,16.9,2,distributed
S095,5.0,29.9,3,cramming
S096,5.5,25.0,4,mixed
S097,6.6,24.2,1,cramming
S098,7.4,18.4,2,mixed
S099,8.8,12.5,3,distributed
S100,6.1,29.4,4,cramming
S101,7.4,11.8,1,distributed
S102,6.6,17.7,2,cramming
S103,7.8,17.2,3,mixed
S104,6.7,15.2,4,distributed
S105,6.9,12.8,1,mixed
S106,7.5,7.4,2,distributed
S107,4.1,30.8,3,cramming
S108,7.1,25.3,4,mixed
S109,6.1,16.1,1,cramming
S110,5.8,22.2,2,mixed
S111,6.2,,3,distributed
S112,6.1,32.8,4,cramming
S113,6.6,7.1,1,distributed
S114,5.8,24.4,2,cramming
S115,7.9,8.1,3,mixed
S116,6.9,23.6,4,distributed
S117,6.2,14.1,1,mixed
S118,7.7,19.9,2,distributed
S119,7.5,20.3,3,cramming
S120,7.0,12.9,4,mixed
