participant_id,mindfulness_pre,mindfulness_post,practice_minutes
P001,34.6,46.5,17.3
P002,45.0,54.1,5.0
P003,52.2,66.5,18.4
P004,33.2,41.1,25.7
P005,43.8,40.9,15.2
P006,28.7,35.6,26.1
P007,43.3,55.0,21.5
P008,54.4,61.0,19.7
P009,41.4,45.7,17.2
P010,47.8,56.1,19.9
P011,53.2,56.1,20.0
P012,51.6,45.0,21.3
P013,44.6,47.6,31.7
P014,39.0,53.1,23.8
P015,49.1,62.5,14.0
P016,33.5,47.2,26.3
P017,38.4,36.1,26.1
P018,40.7,48.4,
P019,40.2,40.1,23.2
P020,47.9,48.4,30.4
P021,37.4,45.1,20.9
P022,33.6,44.8,24.4
P023,33.5,38.3,19.4
P024,44.3,49.3,12.7
P025,36.6,43.6,27.4
P026,42.8,45.5,19.6
P027,37.4,30.4,24.1
P028,52.0,56.5,29.1
P029,46.6,55.7,14.4
P030,31.8,41.4,23.3
P031,45.3,51.3,21.2
P032,56.3,71.4,23.1
P033,27.3,33.2,14.0
P034,47.7,52.7,21.7
P035,43.9,48.3,9.6
P036,45.7,52.9,
P037,25.9,30.6,15.9
P038,37.9,46.9,23.5
P039,58.3,67.1,14.9
P040,50.1,56.5,27.0
P041,33.9,34.0,17.4
P042,50.3,54.2,21.1
P043,49.8,53.4,16.0
P044,40.4,46.6,21.4
P045,38.9,43.8,24.4
P046,26.3,40.7,18.5
P047,41.6,51.0,26.3
P048,45.3,48.2,24.2
P049,55.0,68.0,13.3
P050,64.6,70.3,17.8
P051,30.4,31.9,24.3
P052,52.6,60.2,14.0
P053,52.0,53.2,10.9
P054,34.1,44.1,
P055,46.9,56.4,29.8
P056,42.4,46.3,16.3
P057,44.7,55.7,23.9
P058,39.4,43.6,14.5
P059,23.9,36.2,24.0
P060,45.2,56.8,17.8
P061,61.9,66.2,19.4
P062,61.2,67.7,14.4
P063,56.9,67.9,15.6
P064,35.5,44.1,20.0
P065,45.4,52.3,31.0
P066,41.0,44.9,10.5
P067,43.6,51.4,20.8
P068,33.6,34.3,17.1
P069,46.2,37.5,30.4
P070,51.7,57.2,7.4
P071,48.6,49.5,21.1
P072,36.8,39.2,
