participant_id,feedback_condition,motivation_score,accuracy_score
P001,process_feedback,66.7,83.8
P002,outcome_feedback,70.9,73.4
P003,process_feedback,65.9,74.9
P004,outcome_feedback,57.2,61.1
P005,process_feedback,84.3,78.2
P006,outcome_feedback,72.5,60.2
P007,process_feedback,72.3,95.3
P008,outcome_feedback,56.4,64.7
P009,process_feedback,78.2,63.9
P010,outcome_feedback,59.2,71.6
P011,process_feedback,67.4,78.8
P012,outcome_feedback,72.1,70.2
P013,process_feedback,67.4,81.1
P014,outcome_feedback,54.0,67.6
P015,process_feedback,75.4,62.7
P016,outcome_feedback,54.2,66.8
P017,process_feedback,64.3,67.8
P018,outcome_feedback,71.1,70.7
P019,process_feedback,71.0,73.9
P020,outcome_feedback,58.5,68.3
P021,process_feedback,65.7,84.7
P022,outcome_feedback,80.0,75.9
P023,process_feedback,62.0,96.0
P024,outcome_feedback,73.5,64.7
P025,process_feedback,69.7,69.2
P026,outcome_feedback,67.2,55.0
P027,process_feedback,83.2,79.8
P028,outcome_feedback,55.8,65.9
P029,process_feedback,83.8,72.2
P030,outcome_feedback,73.6,75.7
P031,process_feedback,72.8,71.5
P032,outcome_feedback,52.0,69.7
P033,process_feedback,60.1,71.1
P034,outcome_feedback,64.6,79.3
P035,process_feedback,70.0,75.4
P036,outcome_feedback,74.8,62.9
P037,process_feedback,65.8,71.6
P038,outcome_feedback,56.6,74.8
P039,process_feedback,69.9,77.2
P040,outcome_feedback,80.9,75.2
P041,process_feedback,60.6,58.7
P042,outcome_feedback,64.9,67.0
P043,process_feedback,85.4,74.0
P044,outcome_feedback,60.3,63.3
P045,process_feedback,56.6,69.3
P046,outcome_feedback,67.4,84.5
P047,process_feedback,62.4,79.5
P048,outcome_feedback,49.9,73.9
P049,process_feedback,72.1,72.1
P050,outcome_feedback,70.4,67.9
P051,process_feedback,85.1,66.0
P052,outcome_feedback,55.2,47.4
P053,process_feedback,68.4,74.4
P054,outcome_feedback,58.5,84.2
P055,process_feedback,73.8,79.4
P056,outcome_feedback,70.0,72.5
P057,process_feedback,66.5,89.4
P058,outcome_feedback,65.5,79.3
P059,process_feedback,76.4,88.6
P060,outcome_feedback,73.2,70.9
P061,process_feedback,46.7,64.5
P062,outcome_feedback,51.3,71.3
P063,process_feedback,71.4,65.1
P064,outcome_feedback,61.2,57.5
P065,process_feedback,64.5,75.5
P066,outcome_feedback,70.7,73.3
P067,process_feedback,65.6,78.0
P068,outcome_feedback,71.5,69.4
P069,process_feedback,78.0,77.1
P070,outcome_feedback,59.5,76.6
P071,process_feedback,69.1,66.8
P072,outcome_feedback,61.5,82.0
P073,process_feedback,68.2,87.6
P074,outcome_feedback,58.6,68.7
P075,process_feedback,71.0,66.5
P076,outcome_feedback,54.4,74.4
P077,process_feedback,61.1,86.3
P078,outcome_feedback,52.8,71.1
P079,process_feedback,68.1,70.8
P080,outcome_feedback,69.3,70.4
P081,process_feedback,64.8,66.6
P082,outcome_feedback,66.8,56.6
P083,process_feedback,69.3,69.9
P084,outcome_feedback,67.9,88.5
P085,process_feedback,77.6,66.3
P086,outcome_feedback,61.8,69.4
P087,process_feedback,60.5,93.7
P088,outcome_feedback,59.3,75.2
P089,process_feedback,67.1,82.2
P090,outcome_feedback,64.2,74.4
P091,process_feedback,66.9,76.3
P092,outcome_feedback,71.8,65.9
P093,process_feedback,60.1,65.6
P094,outcome_feedback,62.8,74.0
P095,process_feedback,75.2,70.5
P096,outcome_feedback,63.9,67.6
