participant_id,spacing_condition,quiz_score,retention_score
P001,massed,69.4,65.8
P002,spaced,85.2,87.8
P003,interleaved,85.6,80.4
P004,massed,66.0,61.4
P005,spaced,58.0,61.8
P006,interleaved,75.7,68.8
P007,massed,55.9,50.3
P008,spaced,72.5,72.2
P009,interleaved,83.8,88.3
P010,massed,70.6,60.8
P011,spaced,61.7,64.9
P012,interleaved,88.6,94.9
P013,massed,60.1,59.4
P014,spaced,71.5,74.7
P015,interleaved,68.5,61.2
P016,massed,65.7,59.6
P017,spaced,66.3,70.0
P018,interleaved,64.9,74.4
P019,massed,78.6,72.0
P020,spaced,73.8,69.0
P021,interleaved,74.7,81.5
P022,massed,61.8,62.5
P023,spaced,74.8,70.5
P024,interleaved,72.7,70.5
P025,massed,61.2,55.5
P026,spaced,78.4,78.2
P027,interleaved,75.6,83.2
P028,massed,73.2,68.2
P029,spaced,69.1,74.3
P030,interleaved,80.8,86.8
P031,massed,68.6,63.9
P032,spaced,72.8,70.1
P033,interleaved,76.5,73.8
P034,massed,71.1,65.2
P035,spaced,81.3,84.3
P036,interleaved,78.7,81.3
P037,massed,75.0,67.2
P038,spaced,70.8,73.0
P039,interleaved,89.1,90.4
P040,massed,67.0,69.4
P041,spaced,75.5,67.6
P042,interleaved,72.5,76.7
P043,massed,75.4,61.4
P044,spaced,64.4,62.1
P045,interleaved,64.2,64.5
P046,massed,62.7,63.7
P047,spaced,72.5,69.3
P048,interleaved,71.5,73.4
P049,massed,63.2,67.4
P050,spaced,85.7,86.0
P051,interleaved,72.7,79.6
P052,massed,68.7,69.5
P053,spaced,69.3,61.0
P054,interleaved,75.9,82.1
P055,massed,68.0,64.8
P056,spaced,78.0,76.5
P057,interleaved,81.6,84.5
P058,massed,82.2,78.5
P059,spaced,75.7,66.9
P060,interleaved,82.5,92.1
P061,massed,63.3,57.8
P062,spaced,70.4,71.5
P063,interleaved,74.6,70.5
P064,massed,49.1,48.7
P065,spaced,79.0,74.0
P066,interleaved,81.2,85.2
P067,massed,61.5,54.6
P068,spaced,70.8,68.6
P069,interleaved,81.4,80.8
P070,massed,49.9,41.6
P071,spaced,77.6,80.5
P072,interleaved,84.1,85.2
P073,massed,63.8,59.8
P074,spaced,72.2,78.2
P075,interleaved,96.2,95.1
P076,massed,70.0,56.3
P077,spaced,67.4,68.4
P078,interleaved,77.2,77.5
P079,massed,68.0,62.7
P080,spaced,63.8,65.2
P081,interleaved,79.8,74.5
P082,massed,72.7,71.9
P083,spaced,59.9,66.8
P084,interleaved,67.2,61.2
P085,massed,64.7,66.2
P086,spaced,75.6,80.5
P087,interleaved,79.0,70.3
P088,massed,64.6,56.0
P089,spaced,60.9,59.2
P090,interleaved,70.1,64.6
P091,massed,62.5,63.1
P092,spaced,73.1,74.6
P093,interleaved,80.9,82.1
P094,massed,67.4,71.5
P095,spaced,67.9,69.4
P096,interleaved,72.6,69.5
P097,massed,63.9,60.1
P098,spaced,76.1,67.1
P099,interleaved,68.3,68.2
P100,massed,75.7,70.8
P101,spaced,84.6,82.3
P102,interleaved,76.6,81.9
P103,massed,81.6,75.0
P104,spaced,77.4,77.1
P105,interleaved,83.2,86.8
P106,massed,69.2,65.7
P107,spaced,79.0,82.9
P108,interleaved,77.7,81.0
P109,massed,73.3,80.5
P110,spaced,74.0,71.6
P111,interleaved,65.9,73.3
P112,massed,82.5,74.6
P113,spaced,76.5,75.8
P114,interleaved,75.2,77.8
P115,massed,63.7,51.4
P116,spaced,74.9,76.7
P117,interleaved,71.6,76.2
P118,massed,65.8,60.7
P119,spaced,65.3,64.5
P120,interleaved,78.9,82.7
