participant_id,sleep_reminder,study_strategy,recall_score
P001,none,rereading,63.3
P002,reminder,rereading,60.2
P003,none,practice_testing,76.8
P004,reminder,practice_testing,80.3
P005,none,rereading,70.7
P006,reminder,rereading,67.1
P007,none,practice_testing,71.9
P008,reminder,practice_testing,74.0
P009,none,rereading,54.7
P010,reminder,rereading,65.9
P011,none,practice_testing,69.5
P012,reminder,practice_testing,78.7
P013,none,rereading,72.3
P014,reminder,rereading,60.6
P015,none,practice_testing,65.2
P016,reminder,practice_testing,87.3
P017,none,rereading,62.2
P018,reminder,rereading,74.5
P019,none,practice_testing,75.9
P020,reminder,practice_testing,73.5
P021,none,rereading,67.5
P022,reminder,rereading,79.6
P023,none,practice_testing,61.5
P024,reminder,practice_testing,76.3
P025,none,rereading,60.0
P026,reminder,rereading,64.4
P027,none,practice_testing,72.8
P028,reminder,practice_testing,74.1
P029,none,rereading,53.0
P030,reminder,rereading,57.9
P031,none,practice_testing,65.7
P032,reminder,practice_testing,82.4
P033,none,rereading,68.1
P034,reminder,rereading,60.5
P035,none,practice_testing,74.9
P036,reminder,practice_testing,64.9
P037,none,rereading,60.3
P038,reminder,rereading,57.2
P039,none,practice_testing,75.6
P040,reminder,practice_testing,79.5
P041,none,rereading,68.3
P042,reminder,rereading,75.4
P043,none,practice_testing,76.5
P044,reminder,practice_testing,76.0
P045,none,rereading,50.6
P046,reminder,rereading,67.0
P047,none,practice_testing,72.1
P048,reminder,practice_testing,82.3
P049,none,rereading,39.9
P050,reminder,rereading,76.3
P051,none,practice_testing,74.0
P052,reminder,practice_testing,63.2
P053,none,rereading,73.0
P054,reminder,rereading,73.3
P055,none,practice_testing,74.3
P056,reminder,practice_testing,65.2
P057,none,rereading,68.3
P058,reminder,rereading,68.7
P059,none,practice_testing,53.1
P060,reminder,practice_testing,68.3
P061,none,rereading,58.6
P062,reminder,rereading,67.5
P063,none,practice_testing,81.8
P064,reminder,practice_testing,80.0
P065,none,rereading,64.1
P066,reminder,rereading,64.2
P067,none,practice_testing,62.1
P068,reminder,practice_testing,84.5
P069,none,rereading,60.3
P070,reminder,rereading,58.6
P071,none,practice_testing,71.3
P072,reminder,practice_testing,68.6
P073,none,rereading,55.5
P074,reminder,rereading,77.6
P075,none,practice_testing,70.6
P076,reminder,practice_testing,83.0
P077,none,rereading,68.8
P078,reminder,rereading,49.1
P079,none,practice_testing,72.1
P080,reminder,practice_testing,74.3
P081,none,rereading,81.0
P082,reminder,rereading,70.9
P083,none,practice_testing,82.4
P084,reminder,practice_testing,80.8
P085,none,rereading,66.6
P086,reminder,rereading,70.8
P087,none,practice_testing,74.5
P088,reminder,practice_testing,79.2
P089,none,rereading,53.0
P090,reminder,rereading,73.1
P091,none,practice_testing,55.8
P092,reminder,practice_testing,77.1
P093,none,rereading,56.7
P094,reminder,rereading,74.0
P095,none,practice_testing,68.2
P096,reminder,practice_testing,71.8
P097,none,rereading,64.8
P098,reminder,rereading,60.7
P099,none,practice_testing,76.2
P100,reminder,practice_testing,65.4
P101,none,rereading,59.3
P102,reminder,rereading,74.1
P103,none,practice_testing,68.6
P104,reminder,practice_testing,60.5
P105,none,rereading,73.8
P106,reminder,rereading,77.6
P107,none,practice_testing,69.6
P108,reminder,practice_testing,82.7
P109,none,rereading,78.9
P110,reminder,rereading,80.5
P111,none,practice_testing,67.5
P112,reminder,practice_testing,83.0
P113,none,rereading,62.5
P114,reminder,rereading,71.4
P115,none,practice_testing,64.1
P116,reminder,practice_testing,72.5
P117,none,rereading,60.5
P118,reminder,rereading,61.4
P119,none,practice_testing,74.0
P120,reminder,practice_testing,81.8
P121,none,rereading,54.4
P122,reminder,rereading,74.8
P123,none,practice_testing,81.1
P124,reminder,practice_testing,84.8
P125,none,rereading,66.9
P126,reminder,rereading,67.9
P127,none,practice_testing,88.4
P128,reminder,practice_testing,80.8
P129,none,rereading,69.8
P130,reminder,rereading,69.2
P131,none,practice_testing,75.7
P132,reminder,practice_testing,70.5
P133,none,rereading,63.1
P134,reminder,rereading,73.6
P135,none,practice_testing,75.6
P136,reminder,practice_testing,73.2
P137,none,rereading,59.5
P138,reminder,rereading,61.1
P139,none,practice_testing,84.2
P140,reminder,practice_testing,63.6
P141,none,rereading,59.2
P142,reminder,rereading,74.8
P143,none,practice_testing,62.3
P144,reminder,practice_testing,63.7
P145,none,rereading,63.8
P146,reminder,rereading,60.8
P147,none,practice_testing,60.9
P148,reminder,practice_testing,59.2
P149,none,rereading,65.3
P150,reminder,rereading,73.8
P151,none,practice_testing,76.0
P152,reminder,practice_testing,73.1
P153,none,rereading,72.0
P154,reminder,rereading,75.1
P155,none,practice_testing,85.0
P156,reminder,practice_testing,83.4
P157,none,rereading,59.0
P158,reminder,rereading,63.2
P159,none,practice_testing,79.5
P160,reminder,practice_testing,78.1
