student_id,belonging_score,loneliness_score,study_hours,exam_score
S001,49.2,41.1,9.3,74.0
S002,47.0,40.9,7.7,71.2
S003,36.5,43.4,13.1,76.7
S004,37.8,28.8,7.4,67.2
S005,57.7,16.3,8.9,81.4
S006,47.8,27.6,8.4,68.4
S007,59.7,15.0,16.4,87.9
S008,47.8,37.8,7.0,80.3
S009,47.6,35.5,9.2,66.1
S010,55.4,26.6,8.0,60.2
S011,33.2,39.3,15.5,84.8
S012,48.7,20.3,11.9,77.5
S013,80.0,15.0,11.9,95.1
S014,34.7,59.3,10.5,55.4
S015,37.6,33.8,12.2,67.7
S016,46.4,24.9,11.8,84.5
S017,38.2,43.3,6.6,51.8
S018,57.2,16.8,15.8,91.9
S019,64.7,15.0,11.8,83.2
S020,44.9,30.5,7.9,63.0
S021,66.3,15.0,8.2,83.1
S022,36.9,42.6,10.0,61.6
S023,49.0,17.0,9.2,75.1
S024,51.0,29.5,7.8,64.3
S025,57.3,18.9,5.5,70.9
S026,63.5,15.0,10.4,87.1
S027,80.0,15.0,11.0,85.2
S028,51.9,15.0,12.2,72.4
S029,42.1,33.5,11.9,77.7
S030,54.6,32.6,10.7,92.0
S031,69.3,15.0,11.7,81.6
S032,51.4,28.7,10.2,82.5
S033,61.7,20.3,7.0,69.3
S034,35.7,42.2,9.3,62.7
S035,54.7,20.3,10.2,79.7
S036,39.5,32.1,9.2,79.7
S037,43.3,38.1,11.4,66.1
S038,66.6,15.0,11.2,90.8
S039,68.4,15.0,12.5,85.9
S040,47.0,31.1,6.8,74.4
S041,46.8,32.5,10.2,66.6
S042,61.1,21.2,13.8,79.9
S043,58.6,27.2,10.0,66.8
S044,48.2,46.9,13.3,92.0
S045,53.1,28.3,8.3,76.9
S046,55.5,22.8,9.1,69.0
S047,45.8,39.2,17.4,76.2
S048,58.6,18.4,15.7,85.9
S049,50.7,22.3,12.4,75.1
S050,69.9,15.0,14.2,78.2
S051,35.2,34.3,11.8,68.1
S052,59.3,15.0,7.4,76.6
S053,70.5,15.0,10.0,83.5
S054,42.2,45.2,10.6,69.2
S055,54.9,20.0,6.2,78.4
S056,45.6,28.6,10.3,72.9
S057,50.1,34.9,8.0,57.3
S058,56.5,17.4,14.2,69.9
S059,55.7,21.9,11.7,68.2
S060,71.8,15.0,4.4,77.9
S061,37.6,39.0,10.0,73.4
S062,59.3,27.5,12.8,93.0
S063,41.7,31.6,12.1,61.6
S064,34.5,32.4,13.3,61.8
S065,65.7,21.7,7.6,85.6
S066,62.8,15.0,9.2,82.7
S067,62.1,22.6,8.8,69.3
S068,53.9,35.2,3.6,80.5
S069,60.7,18.1,18.1,99.0
S070,61.8,15.0,11.7,99.0
S071,48.5,24.7,13.8,67.9
S072,51.6,28.6,9.6,74.8
S073,67.6,15.0,9.1,84.6
S074,47.6,41.7,11.2,66.9
S075,31.7,36.3,9.8,60.4
S076,66.6,15.0,10.1,84.1
S077,68.6,15.5,14.2,86.2
S078,48.1,22.4,8.5,62.0
S079,59.9,15.0,11.0,79.8
S080,35.8,45.3,10.1,71.5
S081,29.2,40.4,7.3,62.8
S082,61.9,15.0,11.7,86.8
S083,66.8,20.8,10.9,99.0
S084,49.1,35.8,10.3,77.6
S085,72.8,15.0,14.4,79.5
S086,60.0,23.2,13.4,92.3
S087,67.0,19.2,11.8,99.0
S088,57.7,30.2,12.1,77.2
S089,54.8,31.5,7.6,72.7
S090,59.2,22.2,13.1,85.9
S091,30.9,40.4,11.4,70.3
S092,48.4,31.7,8.7,74.5
S093,57.0,20.3,12.1,86.9
S094,69.8,20.5,13.0,88.7
S095,56.5,28.0,13.4,67.5
S096,37.8,32.6,8.4,66.2
S097,45.2,32.4,9.4,70.1
S098,34.5,41.6,4.0,60.2
S099,43.1,43.4,12.5,69.1
S100,60.3,17.7,8.2,78.4
S101,54.1,39.7,17.8,84.9
S102,70.6,15.0,6.0,75.6
S103,55.5,30.0,11.1,68.4
S104,45.8,33.0,9.3,69.3
S105,41.2,26.2,7.2,65.8
S106,51.9,27.9,8.3,68.5
S107,59.1,26.1,14.3,82.6
S108,48.2,33.2,9.9,67.5
S109,60.1,15.1,6.1,85.7
S110,47.9,48.0,6.7,70.8
S111,56.7,15.0,16.5,81.6
S112,54.9,15.5,11.7,82.1
S113,60.6,21.0,13.1,76.6
S114,55.8,25.7,15.9,83.4
S115,51.2,27.9,8.7,79.7
S116,47.2,25.5,8.6,65.0
S117,52.8,15.0,6.7,70.3
S118,58.0,29.6,17.1,82.8
S119,54.2,23.5,10.6,72.9
S120,52.7,35.0,13.7,83.2
S121,52.4,15.3,11.9,75.8
S122,36.8,29.1,10.7,73.5
S123,54.4,29.1,14.5,83.0
S124,41.5,34.7,4.7,60.0
S125,36.9,40.4,9.7,77.5
S126,59.7,15.0,18.2,98.9
S127,47.2,28.0,12.6,65.8
S128,47.1,38.2,8.0,63.3
S129,40.5,34.8,16.4,79.2
S130,37.2,46.7,6.9,65.7
S131,45.5,19.1,7.8,75.0
S132,41.3,36.6,8.5,79.9
S133,37.5,38.6,7.0,58.5
S134,59.7,22.1,13.1,76.6
S135,65.2,17.0,7.2,80.9
S136,53.4,24.5,14.0,86.0
S137,58.1,26.5,11.1,80.8
S138,45.1,41.2,4.6,56.1
S139,36.7,28.1,10.0,67.1
S140,54.7,25.9,14.0,79.5
S141,52.1,30.8,8.5,88.0
S142,71.1,15.0,10.3,93.8
S143,54.1,31.4,8.5,75.8
S144,54.6,21.4,5.0,75.0
S145,37.9,44.6,8.0,69.6
S146,50.1,20.9,11.7,70.0
S147,60.1,15.0,5.1,71.3
S148,59.8,15.0,14.2,83.0
S149,48.3,29.5,13.4,80.9
S150,56.3,17.6,11.9,93.0
S151,57.8,26.0,11.6,80.9
S152,52.8,34.7,15.1,82.9
S153,48.9,28.5,5.5,70.5
S154,49.2,33.0,9.6,75.9
S155,64.5,20.5,5.4,94.2
S156,46.0,32.2,16.3,77.9
S157,46.7,30.8,12.9,70.7
S158,54.8,32.5,7.5,65.2
S159,40.5,43.8,13.9,70.3
S160,62.8,15.0,12.6,87.0
S161,66.5,17.6,10.5,80.0
S162,47.2,33.1,10.4,74.7
S163,52.0,26.1,12.6,71.1
S164,49.1,27.1,11.4,71.1
S165,47.7,42.2,9.8,72.0
S166,45.8,24.2,8.7,70.2
S167,42.2,24.3,12.5,84.8
S168,57.4,21.1,8.2,76.8
S169,40.0,40.2,11.1,62.6
S170,64.8,15.0,14.2,98.3
S171,66.3,15.0,10.1,76.5
S172,47.6,37.7,11.6,72.5
S173,40.8,31.2,8.0,63.1
S174,54.1,20.9,10.8,74.2
S175,62.1,15.0,8.6,76.4
S176,46.1,25.1,14.2,81.3
S177,63.5,15.0,15.8,97.8
S178,51.4,27.0,13.8,77.6
S179,42.1,32.5,7.3,56.2
S180,50.9,28.4,8.3,75.1
