participant_id,message_condition,resource_choice,prior_support_use
P001,autonomy_message,advisor_meeting,no
P002,skills_message,advisor_meeting,yes
P003,belonging_message,peer_group,yes
P004,autonomy_message,self_guided_module,no
P005,skills_message,self_guided_module,yes
P006,belonging_message,self_guided_module,yes
P007,autonomy_message,self_guided_module,yes
P008,skills_message,advisor_meeting,yes
P009,belonging_message,self_guided_module,no
P010,autonomy_message,self_guided_module,no
P011,skills_message,advisor_meeting,no
P012,belonging_message,self_guided_module,no
P013,autonomy_message,advisor_meeting,no
P014,skills_message,self_guided_module,yes
P015,belonging_message,peer_group,yes
P016,autonomy_message,advisor_meeting,yes
P017,skills_message,advisor_meeting,yes
P018,belonging_message,self_guided_module,no
P019,autonomy_message,advisor_meeting,no
P020,skills_message,advisor_meeting,no
P021,belonging_message,advisor_meeting,no
P022,autonomy_message,peer_group,no
P023,skills_message,self_guided_module,no
P024,belonging_message,peer_group,no
P025,autonomy_message,self_guided_module,yes
P026,skills_message,self_guided_module,no
P027,belonging_message,peer_group,no
P028,autonomy_message,self_guided_module,yes
P029,skills_message,peer_group,no
P030,belonging_message,peer_group,no
P031,autonomy_message,self_guided_module,no
P032,skills_message,self_guided_module,no
P033,belonging_message,peer_group,yes
P034,autonomy_message,self_guided_module,no
P035,skills_message,advisor_meeting,no
P036,belonging_message,advisor_meeting,no
P037,autonomy_message,advisor_meeting,yes
P038,skills_message,peer_group,no
P039,belonging_message,self_guided_module,yes
P040,autonomy_message,advisor_meeting,no
P041,skills_message,advisor_meeting,yes
P042,belonging_message,peer_group,no
P043,autonomy_message,self_guided_module,no
P044,skills_message,self_guided_module,no
P045,belonging_message,advisor_meeting,no
P046,autonomy_message,self_guided_module,yes
P047,skills_message,self_guided_module,no
P048,belonging_message,peer_group,no
P049,autonomy_message,self_guided_module,no
P050,skills_message,advisor_meeting,yes
P051,belonging_message,advisor_meeting,no
P052,autonomy_message,peer_group,yes
P053,skills_message,advisor_meeting,no
P054,belonging_message,peer_group,yes
P055,autonomy_message,self_guided_module,yes
P056,skills_message,advisor_meeting,no
P057,belonging_message,peer_group,no
P058,autonomy_message,self_guided_module,yes
P059,skills_message,advisor_meeting,no
P060,belonging_message,peer_group,yes
P061,autonomy_message,self_guided_module,no
P062,skills_message,peer_group,no
P063,belonging_message,peer_group,no
P064,autonomy_message,peer_group,no
P065,skills_message,peer_group,no
P066,belonging_message,peer_group,no
P067,autonomy_message,peer_group,no
P068,skills_message,peer_group,yes
P069,belonging_message,self_guided_module,no
P070,autonomy_message,advisor_meeting,no
P071,skills_message,advisor_meeting,yes
P072,belonging_message,peer_group,yes
P073,autonomy_message,advisor_meeting,no
P074,skills_message,self_guided_module,yes
P075,belonging_message,advisor_meeting,yes
P076,autonomy_message,peer_group,no
P077,skills_message,advisor_meeting,no
P078,belonging_message,advisor_meeting,no
P079,autonomy_message,self_guided_module,no
P080,skills_message,self_guided_module,yes
P081,belonging_message,advisor_meeting,no
P082,autonomy_message,advisor_meeting,no
P083,skills_message,advisor_meeting,no
P084,belonging_message,advisor_meeting,yes
P085,autonomy_message,self_guided_module,no
P086,skills_message,advisor_meeting,yes
P087,belonging_message,peer_group,no
P088,autonomy_message,advisor_meeting,yes
P089,skills_message,self_guided_module,yes
P090,belonging_message,self_guided_module,no
P091,autonomy_message,peer_group,yes
P092,skills_message,advisor_meeting,no
P093,belonging_message,advisor_meeting,yes
P094,autonomy_message,peer_group,yes
P095,skills_message,self_guided_module,yes
P096,belonging_message,advisor_meeting,no
P097,autonomy_message,advisor_meeting,no
P098,skills_message,advisor_meeting,yes
P099,belonging_message,peer_group,no
P100,autonomy_message,advisor_meeting,yes
P101,skills_message,self_guided_module,no
P102,belonging_message,advisor_meeting,no
P103,autonomy_message,self_guided_module,no
P104,skills_message,self_guided_module,no
P105,belonging_message,advisor_meeting,no
P106,autonomy_message,self_guided_module,no
P107,skills_message,self_guided_module,no
P108,belonging_message,peer_group,no
P109,autonomy_message,self_guided_module,no
P110,skills_message,advisor_meeting,yes
P111,belonging_message,peer_group,no
P112,autonomy_message,peer_group,yes
P113,skills_message,peer_group,yes
P114,belonging_message,self_guided_module,yes
P115,autonomy_message,peer_group,yes
P116,skills_message,self_guided_module,no
P117,belonging_message,advisor_meeting,yes
P118,autonomy_message,self_guided_module,no
P119,skills_message,advisor_meeting,yes
P120,belonging_message,peer_group,yes
P121,autonomy_message,self_guided_module,no
P122,skills_message,advisor_meeting,no
P123,belonging_message,advisor_meeting,no
P124,autonomy_message,self_guided_module,no
P125,skills_message,self_guided_module,no
P126,belonging_message,advisor_meeting,yes
P127,autonomy_message,self_guided_module,no
P128,skills_message,advisor_meeting,yes
P129,belonging_message,peer_group,yes
P130,autonomy_message,peer_group,no
P131,skills_message,self_guided_module,no
P132,belonging_message,advisor_meeting,no
P133,autonomy_message,peer_group,no
P134,skills_message,advisor_meeting,yes
P135,belonging_message,advisor_meeting,no
P136,autonomy_message,advisor_meeting,no
P137,skills_message,peer_group,yes
P138,belonging_message,advisor_meeting,yes
P139,autonomy_message,peer_group,yes
P140,skills_message,self_guided_module,no
P141,belonging_message,advisor_meeting,yes
P142,autonomy_message,peer_group,yes
P143,skills_message,self_guided_module,no
P144,belonging_message,advisor_meeting,no
P145,autonomy_message,self_guided_module,no
P146,skills_message,advisor_meeting,no
P147,belonging_message,peer_group,yes
P148,autonomy_message,advisor_meeting,no
P149,skills_message,self_guided_module,yes
P150,belonging_message,peer_group,no
