participant_id,app_use_group,wellbeing_score,outlier_flag
P001,low,59.7,no
P002,moderate,49.9,no
P003,high,44.8,no
P004,low,59.5,no
P005,moderate,53.8,no
P006,high,45.6,no
P007,low,72.6,no
P008,moderate,69.0,no
P009,high,55.2,no
P010,low,55.3,no
P011,moderate,66.8,no
P012,high,45.6,no
P013,low,64.9,no
P014,moderate,60.8,no
P015,high,41.6,no
P016,low,55.5,no
P017,moderate,55.8,yes
P018,high,64.4,no
P019,low,52.1,no
P020,moderate,57.3,no
P021,high,47.7,no
P022,low,50.9,no
P023,moderate,59.9,no
P024,high,54.6,no
P025,low,49.6,no
P026,moderate,82.3,no
P027,high,44.1,no
P028,low,73.5,no
P029,moderate,64.0,no
P030,high,58.6,no
P031,low,55.4,no
P032,moderate,61.5,no
P033,high,41.5,no
P034,low,55.7,no
P035,moderate,74.6,no
P036,high,51.3,no
P037,low,60.5,no
P038,moderate,62.8,no
P039,high,58.0,no
P040,low,55.2,no
P041,moderate,52.6,no
P042,high,50.0,no
P043,low,57.9,no
P044,moderate,61.0,no
P045,high,52.8,no
P046,low,64.4,no
P047,moderate,67.5,no
P048,high,50.4,no
P049,low,58.7,no
P050,moderate,62.1,no
P051,high,41.4,no
P052,low,40.2,no
P053,moderate,47.9,no
P054,high,48.5,no
P055,low,55.6,no
P056,moderate,59.0,no
P057,high,54.9,no
P058,low,62.9,no
P059,moderate,63.0,no
P060,high,46.0,no
P061,low,61.5,no
P062,moderate,59.7,no
P063,high,39.2,no
P064,low,55.2,no
P065,moderate,64.9,no
P066,high,47.4,no
P067,low,65.1,no
P068,moderate,63.4,no
P069,high,57.1,no
P070,low,69.1,no
P071,moderate,68.6,no
P072,high,44.9,no
P073,low,57.5,no
P074,moderate,66.4,no
P075,high,55.7,no
P076,low,55.3,no
P077,moderate,64.2,no
P078,high,40.6,no
P079,low,26.9,yes
P080,moderate,57.6,no
P081,high,56.1,no
P082,low,78.0,no
P083,moderate,56.8,no
P084,high,44.8,no
P085,low,54.8,no
P086,moderate,72.6,no
P087,high,49.9,no
P088,low,49.5,no
P089,moderate,54.5,no
P090,high,42.5,no
P091,low,62.2,no
P092,moderate,62.1,no
P093,high,42.7,no
P094,low,45.6,no
P095,moderate,59.6,no
P096,high,47.1,no
P097,low,67.2,no
P098,moderate,62.7,no
P099,high,58.4,no
P100,low,57.5,no
P101,moderate,69.8,no
P102,high,58.1,no
P103,low,63.6,no
P104,moderate,51.4,no
P105,high,65.4,no
P106,low,48.5,no
P107,moderate,50.0,no
P108,high,42.0,no
P109,low,57.4,no
P110,moderate,72.0,no
P111,high,45.4,no
P112,low,46.1,no
P113,moderate,62.5,no
P114,high,63.8,no
P115,low,55.3,no
P116,moderate,55.3,no
P117,high,51.0,no
P118,low,58.9,no
P119,moderate,70.0,no
P120,high,60.3,no
P121,low,35.2,yes
P122,moderate,63.3,no
P123,high,31.3,no
P124,low,49.4,no
P125,moderate,57.5,no
P126,high,52.0,no
P127,low,53.1,no
P128,moderate,69.2,no
P129,high,49.5,no
P130,low,49.5,no
P131,moderate,55.0,no
P132,high,44.7,no
