child_id,age_group,emotion_accuracy,vocabulary_score
C001,6_7,58.0,34.1
C002,8_9,59.5,42.3
C003,10_11,69.6,48.9
C004,6_7,58.9,43.9
C005,8_9,71.3,49.3
C006,10_11,68.6,65.9
C007,6_7,55.5,33.0
C008,8_9,71.4,57.0
C009,10_11,75.0,48.3
C010,6_7,71.4,45.5
C011,8_9,74.5,63.2
C012,10_11,66.9,57.7
C013,6_7,64.6,33.4
C014,8_9,68.8,37.3
C015,10_11,81.3,66.6
C016,6_7,60.5,32.6
C017,8_9,64.6,36.3
C018,10_11,85.2,52.0
C019,6_7,55.2,50.2
C020,8_9,75.6,47.1
C021,10_11,81.3,73.5
C022,6_7,71.4,41.1
C023,8_9,70.1,47.0
C024,10_11,66.9,57.9
C025,6_7,65.3,29.6
C026,8_9,67.8,46.8
C027,10_11,79.3,47.2
C028,6_7,55.6,32.7
C029,8_9,60.9,43.0
C030,10_11,75.2,63.1
C031,6_7,61.8,47.9
C032,8_9,61.8,34.0
C033,10_11,80.0,53.0
C034,6_7,68.1,49.7
C035,8_9,78.0,48.2
C036,10_11,57.0,51.4
C037,6_7,63.1,42.9
C038,8_9,79.0,51.0
C039,10_11,62.7,55.1
C040,6_7,48.6,39.9
C041,8_9,80.9,53.8
C042,10_11,68.2,55.3
C043,6_7,55.1,30.1
C044,8_9,74.3,46.8
C045,10_11,84.1,60.7
C046,6_7,62.2,44.9
C047,8_9,71.1,41.6
C048,10_11,70.9,45.5
C049,6_7,55.9,46.9
C050,8_9,67.8,48.3
C051,10_11,75.4,49.5
C052,6_7,57.4,39.2
C053,8_9,74.3,44.6
C054,10_11,62.8,45.0
C055,6_7,65.9,41.1
C056,8_9,63.3,42.6
C057,10_11,79.0,44.1
C058,6_7,61.8,35.5
C059,8_9,70.8,37.7
C060,10_11,87.5,47.5
C061,6_7,58.7,46.7
C062,8_9,80.1,56.8
C063,10_11,71.9,58.2
C064,6_7,61.9,44.8
C065,8_9,71.5,42.1
C066,10_11,66.7,56.3
C067,6_7,65.0,59.9
C068,8_9,59.8,46.3
C069,10_11,80.7,58.7
C070,6_7,56.7,45.0
C071,8_9,67.9,37.5
C072,10_11,77.5,50.5
C073,6_7,62.4,42.3
C074,8_9,50.1,43.5
C075,10_11,71.2,61.8
C076,6_7,48.5,42.1
C077,8_9,62.8,44.0
C078,10_11,76.3,62.0
C079,6_7,54.8,49.1
C080,8_9,75.2,55.4
C081,10_11,58.1,43.5
C082,6_7,63.9,39.9
C083,8_9,78.0,60.7
C084,10_11,67.7,51.4
C085,6_7,61.5,39.6
C086,8_9,70.0,61.5
C087,10_11,79.0,51.6
C088,6_7,65.3,32.2
C089,8_9,78.9,54.0
C090,10_11,77.1,50.4
C091,6_7,56.2,39.2
C092,8_9,77.6,54.4
C093,10_11,68.9,51.4
C094,6_7,67.1,44.3
C095,8_9,73.8,46.7
C096,10_11,73.5,52.8
C097,6_7,52.9,41.3
C098,8_9,55.1,52.0
C099,10_11,81.9,70.9
C100,6_7,58.9,44.6
C101,8_9,66.1,48.4
C102,10_11,67.1,55.1
C103,6_7,58.7,33.2
C104,8_9,59.0,50.1
C105,10_11,69.0,56.1
C106,6_7,67.0,56.3
C107,8_9,67.7,46.5
C108,10_11,71.3,52.0
C109,6_7,49.4,46.4
C110,8_9,68.9,44.3
C111,10_11,66.6,50.0
C112,6_7,46.4,29.0
C113,8_9,68.7,50.7
C114,10_11,71.6,40.9
C115,6_7,64.5,45.9
C116,8_9,73.0,54.8
C117,10_11,80.2,54.6
C118,6_7,53.3,29.1
C119,8_9,50.1,38.4
C120,10_11,55.8,41.5
C121,6_7,61.7,38.6
C122,8_9,79.3,51.7
C123,10_11,74.6,52.0
C124,6_7,44.9,43.2
C125,8_9,68.5,48.1
C126,10_11,69.2,44.8
C127,6_7,66.4,45.5
C128,8_9,84.6,45.7
C129,10_11,72.7,61.9
C130,6_7,48.9,42.2
C131,8_9,60.8,62.2
C132,10_11,80.0,55.3
C133,6_7,58.0,42.0
C134,8_9,64.8,38.6
C135,10_11,63.9,54.6
C136,6_7,63.4,43.1
C137,8_9,62.9,42.2
C138,10_11,70.0,50.4
C139,6_7,55.4,41.0
C140,8_9,76.1,52.3
C141,10_11,67.4,56.2
C142,6_7,60.9,40.2
C143,8_9,69.3,55.6
C144,10_11,66.5,45.0
