case_day,phase,habit_count,stress_rating
1,baseline,3,7
2,baseline,2,7
3,baseline,1,8
4,baseline,4,6
5,baseline,2,6
6,baseline,3,7
7,baseline,2,6
8,baseline,3,7
9,baseline,2,6
10,baseline,3,6
11,baseline,2,7
12,baseline,1,7
13,baseline,4,6
14,baseline,1,6
15,intervention,5,4
16,intervention,4,4
17,intervention,4,5
18,intervention,5,4
19,intervention,4,5
20,intervention,4,4
21,intervention,4,4
22,intervention,5,6
23,intervention,7,3
24,intervention,7,4
25,intervention,4,2
26,intervention,4,3
27,intervention,4,2
28,intervention,6,3
29,maintenance,5,2
30,maintenance,7,3
31,maintenance,6,3
32,maintenance,9,2
33,maintenance,3,4
34,maintenance,5,1
35,maintenance,5,3
36,maintenance,6,2
37,maintenance,6,2
38,maintenance,5,3
39,maintenance,5,4
40,maintenance,4,3
41,maintenance,6,4
42,maintenance,5,3
