project_id,project_stage,evidence_quality_rating,report_decision
PRJ001,proposal,4,revise_with_evidence_check
PRJ002,analysis,4,revise_with_evidence_check
PRJ003,report,5,ready_for_report
PRJ004,proposal,2,return_to_design_map
PRJ005,analysis,4,revise_with_evidence_check
PRJ006,report,4,revise_with_evidence_check
PRJ007,proposal,5,ready_for_report
PRJ008,analysis,4,revise_with_evidence_check
PRJ009,report,5,ready_for_report
PRJ010,proposal,3,revise_with_evidence_check
PRJ011,analysis,4,revise_with_evidence_check
PRJ012,report,5,ready_for_report
PRJ013,proposal,3,revise_with_evidence_check
PRJ014,analysis,5,ready_for_report
PRJ015,report,5,ready_for_report
PRJ016,proposal,2,return_to_design_map
PRJ017,analysis,4,revise_with_evidence_check
PRJ018,report,5,ready_for_report
PRJ019,proposal,5,ready_for_report
PRJ020,analysis,4,revise_with_evidence_check
PRJ021,report,5,ready_for_report
PRJ022,proposal,1,return_to_design_map
PRJ023,analysis,5,ready_for_report
PRJ024,report,5,ready_for_report
PRJ025,proposal,3,revise_with_evidence_check
PRJ026,analysis,5,ready_for_report
PRJ027,report,5,ready_for_report
PRJ028,proposal,4,revise_with_evidence_check
PRJ029,analysis,5,ready_for_report
PRJ030,report,5,ready_for_report
PRJ031,proposal,5,ready_for_report
PRJ032,analysis,3,revise_with_evidence_check
PRJ033,report,5,ready_for_report
PRJ034,proposal,3,revise_with_evidence_check
PRJ035,analysis,4,revise_with_evidence_check
PRJ036,report,5,ready_for_report
PRJ037,proposal,3,revise_with_evidence_check
PRJ038,analysis,2,return_to_design_map
PRJ039,report,5,ready_for_report
PRJ040,proposal,4,revise_with_evidence_check
PRJ041,analysis,5,ready_for_report
PRJ042,report,5,ready_for_report
PRJ043,proposal,3,revise_with_evidence_check
PRJ044,analysis,4,revise_with_evidence_check
PRJ045,report,5,ready_for_report
PRJ046,proposal,3,revise_with_evidence_check
PRJ047,analysis,3,revise_with_evidence_check
PRJ048,report,5,ready_for_report
PRJ049,proposal,3,revise_with_evidence_check
PRJ050,analysis,4,revise_with_evidence_check
PRJ051,report,4,revise_with_evidence_check
PRJ052,proposal,4,revise_with_evidence_check
PRJ053,analysis,4,revise_with_evidence_check
PRJ054,report,5,ready_for_report
PRJ055,proposal,4,revise_with_evidence_check
PRJ056,analysis,4,revise_with_evidence_check
PRJ057,report,5,ready_for_report
PRJ058,proposal,2,return_to_design_map
PRJ059,analysis,4,revise_with_evidence_check
PRJ060,report,5,ready_for_report
