person_id,baseline_memory,training,engagement_after,help_seeking_after,memory_after
1,59.82561834,1,0.41512277,1.17392560,60.93204286
2,49.49943653,1,-0.04875851,2.24742673,44.10556647
3,38.01744532,0,1.17257251,-0.15091250,47.71603607
4,49.24644767,0,0.58986472,2.73585846,41.09322832
5,44.69851090,1,1.61469706,1.79578800,49.46391682
6,57.44822955,1,1.44787583,1.86440446,63.22891191
7,42.36651286,1,0.70561019,2.32197139,45.79964587
8,61.07178720,0,1.31903790,2.29827749,57.04393783
9,46.30267873,1,1.00335726,1.72342187,49.37008565
10,60.10914365,0,0.31304358,0.95369381,50.55787312
11,45.00466553,0,-0.00879029,0.39866284,46.72123166
12,41.33863260,0,-0.69732380,-1.59432280,49.61168482
13,17.61940852,0,-0.33324184,1.33774797,25.16917303
14,53.01027993,1,0.88038894,2.07563520,48.89659044
15,52.78063140,0,-0.34036798,0.03058776,58.44763872
16,39.05792522,0,0.23993143,0.39067297,39.40998676
17,42.22372875,1,1.35506649,0.57791127,51.53123754
18,36.65811041,0,0.25758553,1.00035294,30.09115965
19,66.56696417,1,0.95008238,-2.24691818,69.63357881
20,58.89639279,0,-0.85958310,-1.29872856,56.10910597
21,56.36060011,1,1.61689627,3.17596874,48.93138984
22,41.64139356,0,1.43830794,1.12312358,47.13021658
23,44.83209863,0,0.08639177,-1.68827763,50.82388203
24,51.51226721,0,-0.61321138,0.38475513,50.30805684
25,37.52516254,0,0.18341232,1.84543775,37.15968255
26,59.71212160,1,1.36041215,-0.04920722,63.95403686
27,44.59789024,0,-0.07239258,-0.47132489,46.56292518
28,31.55355201,1,0.04736564,3.96713139,29.57314841
29,50.83795768,1,1.81876894,2.13925586,44.22685238
30,62.51871498,1,1.61053174,-0.42846629,59.05240137
31,47.75632112,0,0.54372973,-0.42249686,48.24424115
32,54.73241283,0,-0.00472836,1.61534086,52.73015953
33,37.75105290,0,0.19556123,-0.58156319,44.15293104
34,47.64758232,1,0.45125705,1.69559714,46.89315530
35,36.64374977,0,-0.23071799,-0.50078916,44.42740379
36,50.95801805,0,-0.02354098,2.44509559,44.25812865
37,36.57873854,0,-0.00399593,1.64751268,43.46775829
38,31.20673532,0,-0.48721512,-0.15224576,34.50622980
39,48.31889287,1,1.24205814,2.02042964,46.84971511
40,62.28315356,1,1.16955246,2.41409722,62.86046878
41,44.86618337,1,0.58464445,1.62717787,44.65867238
42,51.01323623,0,0.58384837,0.57804285,43.02833887
43,56.93446324,1,0.64365596,3.77522552,45.72085575
44,35.71117884,0,-0.30210176,-0.85382535,36.96264388
45,70.25898953,1,2.09478827,3.01893158,63.49748958
46,54.05541234,1,1.90901446,2.91631560,50.22677650
47,41.49857414,1,1.52502716,2.28956422,44.22950631
48,67.80382255,1,0.46936398,1.68858765,66.58885963
49,49.62817917,0,0.93478896,-0.44566586,56.72717676
50,40.39876249,0,-0.42892150,0.58948059,39.56850678
51,41.73332961,1,0.91039581,1.30090662,49.47927621
52,45.13363185,0,0.64212577,-2.73036913,56.67751516
53,55.36096375,1,1.53157778,-0.08662792,68.32117506
54,52.30627823,1,-0.48242620,2.79197332,48.50391304
55,45.10941357,0,-0.32611881,1.25783452,37.70079490
56,65.33599153,1,1.01874497,3.44171146,59.76461791
57,44.86189638,1,0.82091681,0.78844236,48.44553556
58,26.13551936,0,0.41609485,0.42474617,25.82017207
59,25.06910794,0,-0.24289389,2.50405591,28.47924382
60,67.87780355,1,2.11330239,-0.06586709,72.45751009
61,62.38800434,1,1.69243207,0.99450349,64.82203781
62,77.71267439,1,1.96213439,0.23447363,73.63548504
63,51.85085010,0,-0.40212431,0.94277082,48.83028926
64,40.73978858,0,-0.48609071,-0.03934965,44.01343463
65,67.31824565,1,2.02401259,3.01020998,58.23404443
66,48.62228784,0,0.53304039,-0.25253477,49.52919671
67,56.50792421,1,0.12893473,2.05125440,49.31445540
68,52.44318161,0,0.41841226,-0.62932660,51.03915351
69,51.24471282,1,0.80129108,0.69955252,58.92626313
70,35.10423258,0,0.31404026,0.27590137,45.76349041
71,44.40708515,0,0.26091738,-0.06239284,44.28591510
72,42.49584664,1,1.33136746,1.66847664,45.21285640
73,46.03137436,0,-0.61963606,0.00100224,42.75161722
74,41.18719510,1,1.16159887,0.17490468,47.62447173
75,51.46685895,1,0.76787132,2.21591616,55.89856906
76,49.44678637,1,1.47722455,2.02961551,55.30195382
77,45.62441403,0,0.00823977,-1.33409963,50.93457499
78,42.67864827,0,1.20757436,-1.70318701,49.24779538
79,34.93213419,0,0.48437059,0.47558285,34.83590995
80,51.18760845,1,1.60238208,1.18812749,50.45666989
81,47.32459086,0,-0.18997807,0.01562282,46.35582308
82,71.61044194,1,0.23209730,2.37088331,70.09312640
83,57.39198505,1,0.80077544,3.51846543,52.46879441
84,49.44049892,1,0.71753631,0.81130027,54.97895194
85,59.03537556,0,0.87937810,-1.46328637,63.44245286
86,49.71525022,0,0.01721337,1.33381304,45.98086390
87,31.54066152,0,-0.93332131,-1.89166166,46.59000369
88,54.22885778,0,-0.31095455,1.40801745,49.90725157
89,41.44212013,1,0.71239359,-0.86578360,56.81526319
90,58.09819919,1,1.54106883,3.17230602,57.76997123
91,37.59040595,0,-0.28070597,-1.78032092,42.82838486
92,61.87763785,1,0.11255354,1.47675768,54.36268821
93,46.47749337,0,-0.20925457,-0.74971720,44.36623510
94,26.52849969,0,-0.54491292,0.15802246,32.97206076
95,55.63915902,0,-0.17030428,-1.33642866,54.62145583
96,47.43551239,1,2.51410299,3.85129411,44.18571998
97,28.89688956,0,-0.47614724,0.62665412,29.12733581
98,41.99193371,1,0.95044604,2.70836766,42.71467151
99,32.78886224,0,0.59574961,0.98323023,34.94914871
100,52.72699317,1,0.11868820,0.08510472,55.22642478
101,59.71866016,1,0.79321899,0.46554541,58.69769899
102,45.73317724,0,0.08211396,0.54743368,45.77324776
103,48.95496897,0,1.01080390,0.97767523,52.36235817
104,65.32128334,1,-0.27797172,1.19945024,61.24176772
105,47.71109151,0,-0.40818430,-1.18559182,47.04712010
106,37.93361149,0,0.57999502,-0.71003310,41.53020349
107,45.76298888,0,-1.27920019,-0.95387458,45.34034529
108,34.30239818,0,0.04677976,-0.38999308,36.55726394
109,56.07671692,1,-0.06036900,0.63040969,56.98701302
110,68.31785496,1,1.76512253,1.58212482,62.52237086
111,39.13017606,0,-0.22977025,-1.07190746,44.88373569
112,71.16964626,0,0.03110227,0.35858045,63.67419153
113,55.64080069,0,-0.77243764,-0.44871038,54.23210258
114,56.29706165,0,0.52965210,2.68221538,51.77017620
115,54.44736054,0,-0.04460618,-1.00115744,55.14899567
116,46.24969611,1,1.01040288,1.92431129,46.99975292
117,51.77845431,1,0.15642413,1.79937410,47.77159485
118,55.78095795,0,-1.41550954,-0.62519994,51.70516860
119,34.97355008,0,-1.19810799,0.81975800,35.75574517
120,47.39212243,0,0.01486142,1.20063459,48.44125276
121,38.14521803,1,2.24174738,1.31663827,42.26198232
122,46.99117431,0,1.51579083,0.93860398,44.30221291
123,47.58260297,1,-0.07262498,0.65731216,54.75328703
124,65.04710725,1,1.48366611,1.45354926,60.64035943
125,44.01694970,0,-2.02766714,0.95392601,41.61485603
126,36.07873149,0,-0.51886472,0.42544502,37.64342973
127,60.67232707,1,0.69922821,0.93871548,60.05433225
128,49.01477089,0,-0.55410532,-0.13500504,50.92216633
129,41.19103729,1,1.00927024,0.28556646,43.90320911
130,52.58005116,1,1.50778450,-0.11777895,50.53510208
131,61.94383824,0,-0.37322238,-0.06307067,57.88021686
132,40.89953567,0,-1.38895486,0.74020747,38.45407177
133,49.85038742,1,1.80769687,1.54399232,57.83456884
134,46.53905811,0,0.48407212,2.43682293,39.05013094
135,24.49732844,0,1.17325743,2.26712491,24.57551793
136,66.77179752,1,0.91151950,1.58588337,68.04217525
137,38.53930887,0,-0.77503775,0.67165234,48.29346292
138,49.20763585,0,1.18416455,-0.92583198,53.05443922
139,55.94721204,0,-0.35303566,1.43250653,46.83575361
140,50.52994913,1,1.99660377,0.17026536,53.45362239
141,54.48869808,0,1.04944275,-0.84160032,55.05127400
142,64.40570765,0,-0.26135214,-0.72141362,54.58225082
143,51.14545907,1,1.30524359,-0.43281476,57.50861543
144,51.98910509,0,-0.39843794,0.74488594,52.75058450
145,51.47966988,0,0.91775177,0.46959540,49.88664127
