person_id,baseline_search_skill,difficult_task,redesigned_interface,clicks_during_task,task_score
1,38.14577870,0,0,14.04967918,70.67621385
2,35.63279519,0,0,13.91702489,58.26419008
3,55.25774616,1,0,16.61058127,69.07328388
4,56.11697516,0,1,7.86570842,85.59388493
5,39.31345474,0,0,13.13538585,72.28567161
6,56.37415050,1,0,17.02041620,60.39969255
7,43.66763514,1,0,14.71143176,69.60980666
8,61.53194039,0,0,12.18789169,77.19560663
9,31.11556156,1,1,15.39153853,59.34558027
10,49.04703976,1,1,11.39408738,74.69666873
11,50.31708900,0,0,11.73532342,64.48180159
12,51.68609398,0,0,12.17664085,61.26488299
13,55.36039844,0,1,10.76646820,79.07622049
14,44.53243249,1,0,18.69023903,58.27706544
15,43.87440569,0,1,12.38275728,69.33403706
16,53.31200038,0,0,10.75967452,77.57133016
17,47.89882880,1,1,13.05561709,65.70141742
18,51.93810738,0,0,13.60011213,61.76341775
19,39.82554120,0,1,9.40189581,77.45850640
20,64.16215980,1,1,11.32910453,73.08078569
21,52.66251368,0,0,10.86982894,64.47316444
22,43.99605937,0,1,10.35688641,75.71029493
23,57.92862050,0,1,9.83869076,69.90441049
24,50.10678457,1,0,15.52205382,72.35413028
25,55.15760369,1,0,16.09590975,68.17378156
26,47.08324969,1,0,15.58276157,66.68708363
27,73.27783379,0,0,8.38224375,73.73925189
28,66.40836061,0,1,10.08472269,76.55696898
29,31.84894868,0,1,10.66124983,74.80336686
30,47.85628533,1,0,15.76099007,67.41871498
31,66.78984470,0,1,7.00194986,92.85042332
32,55.07179090,0,0,9.57586540,70.71480469
33,38.68916708,1,1,14.15130645,62.26183974
34,60.18940286,1,1,13.79270259,73.31599787
35,36.27628339,1,1,16.21784246,61.65245168
36,54.85783226,1,1,14.76352800,76.14261367
37,57.01204963,1,0,14.17765534,63.67078140
38,59.26437971,1,0,15.81978127,66.68343086
39,26.30013255,0,1,13.06244739,67.76652837
40,73.08927036,0,1,6.41459531,70.28965132
41,50.73112167,0,0,10.90201928,67.99407650
42,41.66570531,1,1,13.42551135,65.69702740
43,60.47985196,0,0,10.87675853,71.67192239
44,59.42948755,1,0,14.43279765,62.89933943
45,57.28922281,0,1,12.10417869,80.74118269
46,47.21228936,1,1,15.72258796,58.23782644
47,63.45285143,0,0,11.29292589,76.20812231
48,43.12332527,0,0,10.88749105,67.66747802
49,40.48099271,0,0,12.16398931,68.06515438
50,51.65518939,1,0,18.36360335,69.55934145
51,44.90302633,0,0,15.13605795,74.20665515
52,33.50129150,1,1,15.58714384,63.37371521
53,42.58792894,1,1,12.33411102,64.42777405
54,64.64363738,0,1,11.46678069,69.35230779
55,48.02234367,1,1,12.62455291,78.34670321
56,48.55598596,0,1,8.46156203,78.60530704
57,75.55295738,1,1,9.59954481,77.46570521
58,50.32065571,0,0,11.52393486,76.77013476
59,51.76241684,0,1,9.77149014,87.04532641
60,62.27479034,1,1,12.59133641,74.41896669
61,37.22492305,1,1,11.48761126,55.18868177
62,58.65380527,1,1,11.64580498,79.56844539
63,44.01110961,0,1,11.42775829,71.39370386
64,46.83663245,0,1,11.45534641,68.17827033
65,62.01182740,1,1,12.84927197,87.25018931
66,54.09976564,0,0,12.03236175,73.30485770
67,44.25554471,0,1,10.85288957,73.62368884
68,33.99737993,1,0,17.49385560,48.47632363
69,56.76654663,1,0,15.63742308,71.66013064
70,48.12721333,0,1,9.25386524,64.97856269
71,45.89811456,1,1,11.48260807,59.83632611
72,43.59962305,1,0,15.88603715,53.42288077
73,54.30167742,0,1,11.90938137,83.43937832
74,33.94406709,0,0,13.76760210,63.90093625
75,51.51059421,1,1,12.90214487,73.16105385
76,56.10513207,0,0,11.51422001,70.70539646
77,36.76975589,0,0,10.25530658,64.74769830
78,54.73304326,1,1,12.89559741,65.20058181
79,42.80265503,0,0,10.97408033,67.97338494
80,42.17781624,1,1,13.84976158,62.99717583
81,33.27110172,1,1,12.73249844,69.13452867
82,47.43803081,0,0,11.08090354,80.50178735
83,49.69976242,1,0,15.83972234,79.63595770
84,38.76960644,0,1,12.06605115,72.12358809
85,61.37069401,0,0,14.93388850,72.13238599
86,51.95777621,0,0,9.83865847,71.81676279
87,39.79082375,1,0,14.62745158,55.48883158
88,44.62264500,0,1,10.51762102,65.80194251
89,59.59640849,0,0,11.21151924,72.16965059
90,53.17958535,1,0,15.56949224,68.64291294
91,30.94046121,1,1,14.44480261,72.88776410
92,50.84025236,1,1,11.58353224,63.38441152
93,55.85636636,1,0,15.56260330,73.68039436
94,52.24762170,1,1,12.08662744,66.19104984
95,49.01697928,0,1,10.78184285,74.29477293
96,62.31740052,1,0,14.03552118,57.82896414
97,54.10241814,0,1,12.88442696,86.48457708
98,55.91904552,0,0,13.63570437,63.52902285
99,59.03863377,0,0,11.17760006,76.27789769
100,37.27326181,1,1,13.50356240,61.78616085
101,54.39745033,0,0,12.06325278,71.75159860
102,58.02458696,0,0,8.87421702,71.79075009
103,40.70125775,1,1,10.62065153,69.46312330
104,56.53239075,0,1,10.85860641,79.16839173
105,35.29842186,0,0,12.26488778,64.70384610
106,45.47185425,1,1,15.05005204,75.58563043
107,47.00845678,1,1,14.32826188,57.86476284
108,53.26750563,0,0,10.24388546,65.91091478
109,38.15553908,0,0,10.98785681,71.86572510
110,44.22998193,0,1,10.80877215,72.52065731
111,56.48854257,1,0,15.04173220,80.51558554
112,62.19949096,1,1,12.20836541,71.47731028
113,48.66119466,1,0,14.33206562,69.24832157
114,37.12514462,1,1,13.53901605,60.90786436
115,46.89968821,1,0,14.78026705,69.02375345
116,58.65739155,1,0,14.27328712,69.74960689
117,42.44759965,0,1,11.46522674,77.76997221
118,44.61318052,0,0,11.13028510,70.19640674
119,44.67856958,0,0,13.39403444,64.56451263
120,48.48011298,0,1,8.79252023,65.05684549
121,53.21173943,0,0,10.27316259,58.62409099
122,67.69381895,0,1,7.86345843,89.12315089
123,37.46067064,0,1,11.73715517,70.07667455
124,53.22327130,0,1,8.05841237,73.64755811
125,61.49341775,0,1,10.00709997,81.70088278
126,54.96199567,0,1,9.27417826,71.27895418
127,68.14619472,1,0,14.39472520,75.46776013
128,71.94244529,0,0,12.27370845,77.13408163
129,41.59214666,1,1,12.11897677,61.78861146
130,52.86513355,1,0,14.38447294,47.50087013
131,44.52345423,0,0,13.61279256,77.78124392
132,62.69599053,1,1,9.58215723,72.97108008
133,58.67884024,0,0,12.18526212,70.18182477
134,55.33230978,0,0,7.99161300,63.08711492
135,64.98644411,1,0,13.98571857,71.12285663
136,31.10186476,1,1,14.66201282,68.40301077
137,46.97870842,0,1,9.31725724,75.20870867
138,45.43461735,1,1,12.38659202,78.88956219
139,58.78074938,0,0,11.32842855,70.94625319
140,47.50929598,0,1,8.45860573,74.58071399
141,53.55002699,1,1,13.44559595,56.31830321
142,58.09950719,0,1,11.00390228,78.10664069
143,39.61945537,1,0,14.41400444,58.67489712
144,36.19806067,0,1,10.12364178,71.11099378
145,43.10093526,0,0,13.77472705,74.44067891
146,58.45206506,1,0,18.07337664,59.35621695
147,37.20716388,1,0,16.67023868,58.87285752
148,29.20421809,1,0,16.26633449,67.50236520
149,59.05500642,1,0,17.09997638,74.50908272
150,63.30032459,1,1,12.77826110,79.68116289
151,49.32521704,0,0,11.35818492,70.48767398
152,53.96428290,1,1,12.37585723,67.62082323
153,37.21580509,1,0,17.22794513,54.31423413
154,43.83479100,1,1,15.90404811,74.56958455
155,61.81410473,1,1,12.37391124,74.79783012
156,52.92162874,0,1,9.49977399,61.95704121
157,35.89145952,0,1,12.23007720,65.26816936
158,25.21889238,1,0,17.46872567,57.68580562
159,47.75746341,1,1,13.16783357,71.33735750
160,53.03929366,1,1,14.62272444,63.97799572
161,49.97946190,0,1,13.24946580,68.71816680
162,41.78278563,0,1,9.36229536,69.23533174
163,50.77284022,0,0,12.25417246,64.65376833
164,34.12755546,0,1,9.94082523,71.19621556
165,48.19284601,0,0,9.62532394,64.70757534
166,44.01796241,1,0,13.09856866,70.26996411
167,44.74681727,1,1,12.22509998,66.06242391
168,63.26025549,0,0,8.54635872,76.93732929
169,52.29187095,1,0,14.54737177,69.72414019
170,41.95866548,1,0,15.80791176,55.15649299
171,34.99372998,0,1,12.72736838,78.31517520
172,40.40837334,0,1,11.40144798,62.38530787
173,77.50620395,0,0,10.34293201,83.06512531
174,55.70152560,1,0,15.05828765,81.25739294
175,46.45346197,0,0,10.76930716,63.95648199
176,40.34445667,0,0,9.82899485,69.82776190
177,40.66311877,1,0,16.50200843,61.16489103
178,57.13726175,1,1,12.50046730,64.62531562
179,60.19334998,0,1,9.89671301,76.55026362
180,45.77446092,0,1,9.08282427,65.95619277
181,50.50830139,1,0,14.25104671,75.31944339
182,42.48479295,1,1,13.07933678,59.08928583
183,40.76003220,0,1,10.56760088,65.26130672
184,37.29741801,1,1,14.38105208,57.49582294
185,49.50070667,0,0,12.41852279,71.59789350
186,65.13015890,0,1,11.04345364,86.58377431
187,42.80929369,0,0,15.83674942,66.53372153
188,50.04396699,0,1,7.14076678,72.65814346
189,47.96074175,0,1,10.45520161,83.17946302
190,36.74442196,0,1,7.94250744,65.02840308
191,51.40813664,0,1,9.80070075,70.19346167
192,58.33815691,0,0,10.48911349,64.82287208
193,50.38068576,0,1,10.96722425,74.24525484
194,33.40582904,0,0,13.98364238,76.52011966
195,62.58980192,1,0,12.32693963,61.10946389
196,41.28884475,1,1,12.35932474,56.31673400
197,41.34499278,0,1,7.49823060,71.15977835
198,37.57695574,1,1,15.21077485,63.67715784
199,46.06868296,0,0,13.07699311,70.11084262
200,66.68810999,0,0,11.12655820,63.33508539
201,54.35027311,1,1,15.98164643,75.99531197
202,52.95912929,0,1,11.44587224,76.84201316
203,68.30820936,1,0,13.77477493,63.79586307
204,54.56309011,0,1,5.55476918,78.61843957
205,52.03089351,1,1,11.48795620,74.98040830
206,47.79884154,1,1,14.17715397,65.60305489
207,58.04511024,1,0,14.24158596,65.47369530
208,45.88538354,0,1,11.70402548,71.00176541
209,38.14040770,1,0,16.68487074,56.32159083
210,61.82692405,1,1,10.91825574,68.32443639
211,36.42160170,1,0,14.18936750,43.73852536
212,53.92897115,1,1,12.52004486,62.21014312
213,56.20761735,0,0,11.48240406,80.93016567
214,43.15625528,1,0,15.19667210,69.27925799
215,46.49511667,0,0,11.12351285,77.11074838
216,67.14963305,0,0,8.99712107,83.01353160
217,47.02259401,1,0,17.01061980,73.45458719
218,53.07467144,1,0,12.53916548,65.55338719
219,49.11280425,0,1,11.20624526,73.65977801
220,79.76880870,0,0,8.24356185,82.37909632
221,54.96742399,0,0,11.68870450,72.56799666
222,35.81845354,1,0,18.05863171,64.10870140
223,62.14521271,0,0,9.57949222,70.60066714
224,62.61743293,0,1,7.03932457,80.69233707
225,43.23635293,1,1,13.65250557,70.08363013
226,62.37259956,1,0,15.01457239,76.00766975
227,33.32683400,0,0,13.96739762,59.08534443
228,49.89716082,1,1,15.53900330,61.44039431
229,35.71110333,1,0,14.32092139,60.78231054
230,48.14329267,0,0,11.38250934,66.93457799
231,71.13227003,0,0,8.74792972,76.58858990
232,62.25602592,0,0,9.99077985,63.91828628
233,64.07169697,0,0,7.85738740,80.75373414
234,72.90328876,1,1,13.21626153,75.41295717
235,51.98256881,0,1,11.54437669,77.90902613
236,56.35423497,0,0,14.40863885,79.18628941
237,65.31981036,0,0,10.32128109,70.81207258
238,52.66584726,1,0,14.84344353,66.70197081
239,48.53723519,0,0,12.55376571,67.89036087
240,27.04056910,1,0,19.01075516,56.86494464
241,60.55824933,0,1,11.63123042,60.34914204
242,50.75022182,1,1,13.81978121,63.39084096
243,47.87790258,1,0,16.74503525,66.83432707
244,75.32274856,1,1,9.89741701,82.96172176
245,58.44924751,1,0,15.62277096,63.90708172
246,41.38969221,1,0,13.36363565,60.97976920
247,34.43330941,0,0,12.60004937,69.58452381
248,36.61592560,0,1,8.71375946,82.25829076
249,62.69447874,0,1,7.47714973,64.55029547
250,54.19892838,0,0,9.72483284,80.53801997
251,36.47918331,0,1,11.37870328,65.28460278
252,51.64502674,0,0,11.28577629,75.13085907
253,66.40416858,0,0,11.20972698,74.46075165
254,47.66593909,0,0,14.62921853,71.55074000
255,56.32718297,1,0,13.06332248,76.14841390
256,47.16389695,1,0,14.73220665,63.87726117
257,46.05510136,0,0,15.68737932,71.56905314
258,42.55593504,0,1,9.81037956,69.04115841
259,33.78099613,1,0,16.41794677,60.38129569
260,41.31724990,0,1,9.45162244,80.48814822
261,48.09340402,0,1,11.04334681,72.22460276
262,41.98273638,1,0,16.86883926,72.78040186
263,54.12455410,1,0,12.26991118,76.88733878
264,43.27975550,0,0,12.58905542,66.58465991
265,54.40133992,1,0,15.76147660,61.48449533
266,59.81596268,1,0,15.77059641,74.12847174
267,37.28122704,1,1,12.81240914,69.26667060
268,59.51643789,0,1,11.55527519,72.54787395
269,39.56355097,0,0,13.57583622,65.60650021
270,53.43402103,1,0,14.86006734,67.53310652
271,44.08302055,1,1,14.73420863,68.20366106
272,52.56406604,1,0,14.33478624,70.84670395
273,40.37441355,0,1,11.71492599,68.48074739
274,54.92990836,1,0,13.49354590,73.55391174
275,36.34327100,0,1,9.03607243,77.91922510
276,43.87968669,0,0,11.88310960,69.88222233
277,44.80134840,0,1,12.37583510,65.10474513
278,53.98086627,1,1,11.84271830,62.26689281
279,57.62052422,0,1,8.81597595,76.54664137
280,35.39571858,1,1,14.04736979,59.80796884
281,43.28629568,0,1,11.73367024,81.10340339
282,35.61454221,1,1,13.73719071,63.18066512
283,48.16476693,0,1,11.12619804,64.77658221
284,30.88438673,0,1,12.30826213,63.70460240
285,65.05782140,1,1,11.87258224,73.89164736
286,55.09395492,1,0,13.79909969,58.62693115
287,50.35546787,1,1,11.87939745,78.85446883
288,51.48348034,1,0,14.45242414,61.63792161
289,36.61083974,0,1,10.47914862,72.60550286
290,42.87638471,0,0,13.54604173,77.03205824
291,47.50769404,0,0,13.20341716,70.38014941
292,32.12093328,0,0,12.75132152,61.73521037
293,64.42646983,1,0,17.36810349,69.34123801
294,52.01627323,1,1,14.23613632,83.77869123
295,51.41552917,1,0,15.21554219,65.34454674
296,54.40440186,0,1,12.01159874,70.44772371
297,51.42633777,0,1,8.28627935,83.41574717
298,40.93641072,1,0,17.63835649,51.69027406
299,48.46914852,1,0,16.38376656,57.34807790
300,61.89124434,1,1,17.41684053,73.80906480
301,37.84829890,1,0,17.14736099,57.03089159
302,38.61144149,1,1,10.38114566,63.45658053
303,32.36622205,0,1,11.45561615,63.84581235
304,43.32703622,0,0,12.43844883,61.74651815
305,54.82791452,0,1,8.02763087,81.22151678
306,55.35039650,0,1,11.91546404,76.23424408
307,44.99945743,1,0,16.98527899,60.58651347
308,55.50542747,0,0,10.90703044,73.81006131
309,64.13405272,1,0,12.97055852,68.93990198
310,39.82735440,1,0,16.81259672,58.26037413
311,46.92696340,1,0,14.99541583,66.61312731
312,39.04869952,1,0,16.28773943,62.57032453
313,51.69511611,1,1,11.33666177,59.82923921
314,73.39405398,1,1,12.57324852,66.40791068
315,36.19827328,0,0,14.73698961,65.85982936
316,45.16059723,1,0,17.47467490,70.69311537
317,40.85601139,1,0,18.12771440,58.84817348
318,38.34196871,1,1,13.66634570,65.08774994
319,56.46469595,1,0,11.42140983,68.68463788
320,58.55097124,0,1,6.11451815,71.84047938
321,60.07063622,0,1,7.63247703,78.70805862
322,56.25653301,0,0,11.94354643,82.92646042
323,70.58466961,1,0,11.44505259,73.75441319
324,60.04886336,1,1,12.48181868,74.84580984
325,54.19302400,0,0,7.78314434,72.54791013
326,67.63690271,0,0,9.62041865,75.93166935
327,47.58475636,0,0,9.83182188,77.11880142
328,65.66154321,0,1,10.71955537,81.75325793
329,46.10732073,0,0,12.77990054,71.32556948
330,44.75773457,0,1,8.80911409,62.01099335
331,43.11720278,1,1,12.27712369,61.51314758
332,34.98741285,0,0,15.78303340,61.03758728
333,64.81653951,0,1,10.84095966,83.90068638
334,51.72412608,1,0,13.74869562,71.09157942
335,44.43611113,0,0,12.73979470,69.50455380
336,53.61960871,1,1,11.31572683,66.52612688
337,50.42218423,1,1,12.04887323,63.72108752
