person_id,site,baseline_stress,workshop_offer,attended_workshop,wellbeing_after
1,Cedar,38.17296774,0,0,59.00728574
2,Cedar,46.16772883,1,1,66.12432394
3,Cedar,33.71899789,1,1,66.42358048
4,Cedar,50.89559754,1,0,65.02747894
5,Cedar,33.14819549,1,1,72.15798705
6,Cedar,51.22134049,1,1,59.45504814
7,Cedar,48.57534936,1,1,59.76626169
8,Cedar,55.07848736,1,0,60.43637273
9,Cedar,49.91896310,0,0,68.30145379
10,Cedar,42.04135889,1,1,63.94723821
11,Cedar,32.25515402,1,1,70.47403388
12,Cedar,44.87793106,0,0,45.05268264
13,Cedar,48.52677672,1,1,65.24521231
14,Cedar,65.55885372,1,1,57.34185253
15,Cedar,35.53674286,0,0,68.83597685
16,Cedar,48.00717558,0,0,57.80890741
17,Cedar,72.27727557,0,0,52.66468981
18,Cedar,40.98441001,1,0,62.23040855
19,Cedar,42.53142238,1,1,67.70963068
20,Cedar,54.11790169,0,0,56.21471669
21,Cedar,32.23616310,0,0,64.10975526
22,Cedar,55.77977678,1,0,64.37305543
23,Cedar,45.97867237,1,1,64.61468325
24,Cedar,41.14827341,1,0,60.44042518
25,Cedar,40.91425660,1,0,62.54421590
26,Cedar,35.30256309,1,1,83.82026091
27,Cedar,42.52106752,1,0,64.06553215
28,Cedar,46.06771940,0,0,61.98509783
29,Cedar,58.55228270,1,1,58.82084044
30,Cedar,42.50049387,1,1,68.59091212
31,Cedar,47.23268196,0,0,49.94724874
32,Cedar,56.75837484,1,1,57.84058175
33,Cedar,51.57760108,1,0,55.12726414
34,Cedar,33.39758565,0,0,72.21490114
35,Cedar,54.63704128,0,0,43.49313427
36,Cedar,35.10294689,1,1,71.49391144
37,Cedar,46.94764906,0,0,52.03110393
38,Cedar,53.35040059,1,0,54.50290627
39,Cedar,48.40128637,0,0,68.66863601
40,Cedar,46.82253480,1,1,65.02402743
41,Cedar,46.65520242,0,0,72.27158072
42,Cedar,44.14280354,1,0,55.25595684
43,Cedar,50.44926248,0,0,60.34247254
44,Cedar,46.57937824,0,0,66.32149982
45,Cedar,42.78083772,0,0,65.04951590
46,Cedar,38.83580527,0,0,63.08972500
47,Cedar,38.92750747,0,0,60.12417558
48,Cedar,52.45548107,1,1,68.89988017
49,Cedar,37.44054967,1,0,64.17066506
