municipality_id,region,month_index,relative_month,early_adopter,regional_hotline_active,policy_active,youth_emergency_transports_per_10000
M01,North,1,-18,1,0,0,12.123362
M01,North,2,-17,1,0,0,13.093095
M01,North,3,-16,1,0,0,13.73789
M01,North,4,-15,1,0,0,14.278335
M01,North,5,-14,1,0,0,13.59689
M01,North,6,-13,1,0,0,12.563881
M01,North,7,-12,1,0,0,12.602375
M01,North,8,-11,1,0,0,12.376784
M01,North,9,-10,1,0,0,12.166506
M01,North,10,-9,1,0,0,12.174119
M01,North,11,-8,1,0,0,12.315746
M01,North,12,-7,1,0,0,12.047363
M01,North,13,-6,1,0,0,13.521059
M01,North,14,-5,1,0,0,13.487661
M01,North,15,-4,1,0,0,13.39092
M01,North,16,-3,1,0,0,12.950295
M01,North,17,-2,1,0,0,12.266045
M01,North,18,-1,1,0,0,12.463829
M01,North,19,0,1,1,1,9.294993
M01,North,20,1,1,1,1,9.893228
M01,North,21,2,1,1,1,9.569841
M01,North,22,3,1,1,1,8.658216
M01,North,23,4,1,1,1,8.78911
M01,North,24,5,1,1,1,9.111081
M01,North,25,6,1,1,1,9.722738
M01,North,26,7,1,1,1,10.703973
M01,North,27,8,1,1,1,11.078604
M01,North,28,9,1,1,1,10.951553
M01,North,29,10,1,1,1,10.407601
M01,North,30,11,1,1,1,9.812914
M01,North,31,12,1,1,1,10.199574
M01,North,32,13,1,1,1,9.451991
M01,North,33,14,1,1,1,8.654437
M01,North,34,15,1,1,1,8.686285
M01,North,35,16,1,1,1,9.652609
M01,North,36,17,1,1,1,9.465079
M02,North,1,-18,1,0,0,12.193305
M02,North,2,-17,1,0,0,12.456754
M02,North,3,-16,1,0,0,12.926238
M02,North,4,-15,1,0,0,13.233979
M02,North,5,-14,1,0,0,13.758204
M02,North,6,-13,1,0,0,13.606602
M02,North,7,-12,1,0,0,13.178658
M02,North,8,-11,1,0,0,13.104758
M02,North,9,-10,1,0,0,13.179543
M02,North,10,-9,1,0,0,12.226541
M02,North,11,-8,1,0,0,12.421623
M02,North,12,-7,1,0,0,12.945724
M02,North,13,-6,1,0,0,13.846866
M02,North,14,-5,1,0,0,13.614457
M02,North,15,-4,1,0,0,12.641377
M02,North,16,-3,1,0,0,12.942907
M02,North,17,-2,1,0,0,12.081511
M02,North,18,-1,1,0,0,11.853471
M02,North,19,0,1,1,1,10.162539
M02,North,20,1,1,1,1,10.005683
M02,North,21,2,1,1,1,9.230456
M02,North,22,3,1,1,1,9.033229
M02,North,23,4,1,1,1,9.424295
M02,North,24,5,1,1,1,9.20568
M02,North,25,6,1,1,1,9.416209
M02,North,26,7,1,1,1,9.670469
M02,North,27,8,1,1,1,10.549545
M02,North,28,9,1,1,1,10.713113
M02,North,29,10,1,1,1,10.375542
M02,North,30,11,1,1,1,9.287078
M02,North,31,12,1,1,1,8.533298
M02,North,32,13,1,1,1,8.446613
M02,North,33,14,1,1,1,8.421562
