applicant_id,diagnostic_score,centered_score,tutoring_eligible,baseline_gpa,end_term_math_score
RD0001,46.531284,-13.468716,1,2.161364,74.31082
RD0002,75.463833,15.463833,0,2.942115,78.333055
RD0003,58.08652,-1.91348,1,2.726445,69.440048
RD0004,48.21403,-11.78597,1,1.677039,68.63793
RD0005,63.452807,3.452807,0,2.717667,70.452042
RD0006,69.789401,9.789401,0,3.138226,77.969487
RD0007,40.000001,-19.999999,1,2.342358,64.147014
RD0008,73.06042,13.06042,0,2.715441,73.374993
RD0009,47.680796,-12.319204,1,2.522825,66.764778
RD0010,58.191605,-1.808395,1,2.456116,74.95615
RD0011,46.639585,-13.360415,1,2.332838,65.515149
RD0012,52.981467,-7.018533,1,2.662615,72.682633
RD0013,58.260921,-1.739079,1,2.5874,72.839184
RD0014,79.999999,19.999999,0,3.193466,88.130895
RD0015,63.127553,3.127553,0,2.754597,72.266079
RD0016,60.405054,0.405054,0,2.636269,67.624517
RD0017,54.946017,-5.053983,1,2.261974,66.799692
RD0018,73.758909,13.758909,0,3.235188,82.974338
RD0019,74.937446,14.937446,0,3.319129,85.052824
RD0020,62.696083,2.696083,0,2.457298,68.436539
RD0021,47.082447,-12.917553,1,2.581982,58.304239
RD0022,61.676512,1.676512,0,2.887921,65.574971
RD0023,45.465553,-14.534447,1,1.945819,71.041698
RD0024,65.389563,5.389563,0,2.606096,80.144844
RD0025,55.830488,-4.169512,1,2.628837,72.892058
RD0026,58.941606,-1.058394,1,2.661387,75.963667
RD0027,59.373489,-0.626511,1,3.030509,81.353208
RD0028,50.538381,-9.461619,1,2.640029,59.082436
RD0029,53.251919,-6.748081,1,2.967986,68.617439
RD0030,60.132039,0.132039,0,2.656206,62.85536
RD0031,63.760195,3.760195,0,2.88754,67.52115
RD0032,62.895641,2.895641,0,3.20936,69.671142
RD0033,54.5143,-5.4857,1,2.471092,66.336173
RD0034,68.457077,8.457077,0,3.077521,79.664405
RD0035,59.785607,-0.214393,1,2.892543,61.416408
RD0036,72.197577,12.197577,0,3.002711,73.494666
RD0037,47.756141,-12.243859,1,2.384421,73.138062
RD0038,63.972763,3.972763,0,2.467736,59.974599
RD0039,58.532386,-1.467614,1,2.515097,71.711265
RD0040,54.159409,-5.840591,1,2.743147,75.780151
RD0041,52.511576,-7.488424,1,2.412353,68.159203
RD0042,79.999999,19.999999,0,3.289305,77.445319
RD0043,69.173295,9.173295,0,2.675133,73.080745
RD0044,58.220248,-1.779752,1,2.433753,71.706426
RD0045,54.581099,-5.418901,1,2.456575,78.177663
RD0046,64.705438,4.705438,0,2.310844,68.817515
RD0047,46.379129,-13.620871,1,2.378879,63.815913
RD0048,63.366123,3.366123,0,3.131477,67.345502
RD0049,50.355701,-9.644299,1,2.915935,75.273971
RD0050,42.041137,-17.958863,1,2.606862,75.077355
RD0051,55.659466,-4.340534,1,2.416308,60.736709
RD0052,40.000001,-19.999999,1,2.013063,65.048494
RD0053,48.557245,-11.442755,1,2.350315,69.172873
RD0054,72.215679,12.215679,0,2.884563,81.655486
RD0055,57.415167,-2.584833,1,2.710672,63.072881
RD0056,51.707269,-8.292731,1,2.493102,55.981482
RD0057,55.428002,-4.571998,1,2.772202,71.696922
RD0058,54.950512,-5.049488,1,2.664266,65.540464
RD0059,40.000001,-19.999999,1,1.892138,64.995368
RD0060,63.914295,3.914295,0,2.242227,74.288338
RD0061,47.544208,-12.455792,1,2.464679,65.995712
RD0062,64.812641,4.812641,0,3.030955,74.357086
RD0063,71.084308,11.084308,0,3.267727,71.442789
RD0064,60.548078,0.548078,0,2.816761,68.825416
RD0065,43.140175,-16.859825,1,2.116985,70.470493
RD0066,46.295434,-13.704566,1,2.401034,56.941978
RD0067,63.872481,3.872481,0,2.824748,71.251016
RD0068,60.192156,0.192156,0,2.860759,69.10183
RD0069,43.920416,-16.079584,1,2.139539,69.901756
RD0070,56.669774,-3.330226,1,2.77908,70.857334
RD0071,64.739757,4.739757,0,2.788822,66.025339
RD0072,57.929967,-2.070033,1,2.639483,59.74007
RD0073,51.037826,-8.962174,1,2.140816,58.138334
RD0074,64.118919,4.118919,0,3.200703,68.99554
RD0075,59.561732,-0.438268,1,2.044206,61.819101
RD0076,59.408194,-0.591806,1,2.735982,67.108432
RD0077,53.567853,-6.432147,1,2.540989,70.12685
