student_id,encouragement_assignment,tutoring_received,baseline_math_score,end_term_math_score
IV0001,1,1,63.181775,82.638416
IV0002,1,1,41.564975,81.25352
IV0003,0,0,60.880318,86.472484
IV0004,1,0,52.09081,81.691442
IV0005,1,1,67.343464,95.513324
IV0006,1,1,71.840404,91.68032
IV0007,0,0,62.316013,66.442159
IV0008,0,0,72.631296,77.676686
IV0009,0,0,63.283308,75.088515
IV0010,0,0,47.197797,62.359425
IV0011,1,1,62.690425,90.440581
IV0012,0,0,58.381094,83.625535
IV0013,1,1,47.671172,67.368778
IV0014,0,0,52.440548,79.195414
IV0015,0,0,64.613698,92.719803
IV0016,0,0,53.715853,76.404811
IV0017,1,1,68.920687,93.389922
IV0018,1,1,61.666869,95.785579
IV0019,0,0,79.568416,83.603907
IV0020,1,1,54.940049,83.963296
IV0021,0,0,53.701765,75.915122
IV0022,1,0,58.704275,65.214158
IV0023,1,1,65.969416,80.954161
IV0024,1,1,68.556907,91.580606
IV0025,1,1,44.653678,83.710086
IV0026,0,0,60.683674,77.07142
IV0027,1,1,72.417277,91.442211
IV0028,0,1,62.181221,85.709337
IV0029,0,0,64.557098,85.960082
IV0030,0,0,82.903091,83.024906
IV0031,1,0,71.173068,78.212408
IV0032,0,0,69.317264,84.697005
IV0033,0,0,58.552898,73.666406
IV0034,1,1,50.705642,78.717999
IV0035,1,1,45.942208,77.147388
IV0036,1,0,65.112707,78.817504
IV0037,0,0,80.212881,83.635946
IV0038,0,0,51.687779,74.299333
IV0039,1,1,75.288243,79.511388
IV0040,0,0,60.264065,84.068305
IV0041,0,0,78.651303,85.092629
IV0042,0,0,57.666543,73.636037
IV0043,1,1,53.244748,84.034534
IV0044,0,0,63.998918,70.259058
IV0045,0,0,62.500576,86.9515
IV0046,0,0,73.873959,76.716253
IV0047,0,0,68.486504,80.517023
IV0048,0,0,66.404336,89.869334
IV0049,1,1,77.339406,92.03926
IV0050,1,0,68.604158,78.286827
IV0051,1,1,67.805281,89.071766
IV0052,1,0,77.373285,86.611121
IV0053,0,0,78.274323,83.751809
IV0054,1,0,43.637949,72.283523
IV0055,0,0,66.512686,75.512679
IV0056,1,0,59.836143,82.762686
IV0057,1,1,60.042976,90.931563
IV0058,0,0,61.494367,76.450352
IV0059,0,0,64.100597,76.94335
IV0060,0,0,60.488095,82.117917
IV0061,1,1,72.98345,92.854225
IV0062,1,1,53.004665,76.890017
IV0063,0,0,57.444757,85.042899
IV0064,1,1,64.295072,92.196346
IV0065,0,0,52.116155,78.850019
IV0066,1,1,62.374613,88.734979
IV0067,1,1,56.157302,93.548643
IV0068,1,1,60.011452,96.767755
IV0069,0,0,68.168019,81.196234
IV0070,0,0,57.835313,64.784962
IV0071,0,0,62.511224,73.741053
IV0072,1,1,69.145808,86.240905
IV0073,0,0,69.63215,74.211726
IV0074,0,0,75.473952,82.853457
IV0075,1,1,69.566455,73.427552
IV0076,0,0,79.146936,91.572811
IV0077,1,1,54.761606,66.688992
IV0078,0,0,48.922293,80.291425
IV0079,0,0,72.815219,83.413229
IV0080,1,0,55.213693,72.91357
IV0081,1,1,60.680107,93.65409
IV0082,0,0,79.900163,92.478199
IV0083,1,1,68.850432,91.408411
IV0084,0,1,63.195461,76.132648
IV0085,1,1,54.037543,70.098766
IV0086,1,0,52.497415,64.416746
IV0087,1,1,71.178518,90.323028
IV0088,1,1,70.756746,87.037785
IV0089,0,1,64.409428,82.608398
IV0090,0,0,55.954023,78.840269
IV0091,0,0,62.697492,73.069275
IV0092,1,1,73.893363,100.691857
IV0093,0,0,73.968528,87.284416
IV0094,1,1,66.585472,81.74028
IV0095,1,1,62.160951,85.988189
IV0096,0,0,60.94288,73.049859
IV0097,0,1,64.639228,81.412983
IV0098,1,0,75.733179,84.844126
IV0099,0,1,64.715192,94.564425
IV0100,0,1,78.092994,88.547784
IV0101,0,0,65.943952,74.080596
IV0102,1,1,55.221937,87.422285
IV0103,0,0,60.975301,87.861308
IV0104,1,1,75.288443,90.478987
IV0105,0,0,70.926475,85.480258
IV0106,0,0,69.820613,79.993483
IV0107,1,1,59.397847,87.85317
IV0108,0,0,53.224114,74.865049
IV0109,0,0,66.854382,87.343689
IV0110,0,0,45.482819,82.363748
IV0111,0,1,71.329757,90.423281
IV0112,1,1,61.399963,87.092163
IV0113,1,1,66.067698,75.81283
IV0114,1,0,74.901831,86.469815
IV0115,0,0,66.370724,79.181462
IV0116,1,1,55.210391,89.736535
IV0117,1,0,90.036647,101.790692
IV0118,0,0,54.301391,67.358371
IV0119,0,0,55.583702,73.263602
IV0120,1,1,74.523313,99.115971
IV0121,1,0,59.461957,76.980981
IV0122,0,0,64.636152,87.878429
IV0123,0,0,58.731639,91.208338
IV0124,1,1,71.347923,87.159598
IV0125,1,1,68.172557,102.491752
IV0126,0,0,57.589834,82.426437
IV0127,1,1,62.753288,76.767699
IV0128,0,0,66.290243,68.225827
IV0129,1,1,54.552393,79.520369
IV0130,0,0,69.240922,80.466333
IV0131,0,0,60.966026,95.214829
IV0132,1,1,88.133558,94.066614
IV0133,0,0,54.289024,74.816704
IV0134,0,1,68.20608,93.636294
IV0135,1,0,57.932978,87.160659
IV0136,0,0,52.647931,82.135632
IV0137,0,0,69.111658,74.634132
IV0138,0,1,76.116259,81.441517
IV0139,1,1,66.543325,83.891052
IV0140,1,1,50.339152,84.002723
IV0141,0,0,56.390347,75.646699
IV0142,1,0,60.561201,78.605526
IV0143,1,1,63.13771,81.918717
IV0144,0,0,73.61469,75.432547
IV0145,0,0,72.591976,71.065868
IV0146,1,1,62.039603,91.01853
IV0147,1,1,42.82093,85.056118
IV0148,0,0,62.884378,81.519054
IV0149,0,0,79.137398,92.721018
IV0150,0,1,76.843415,96.885139
IV0151,1,1,63.858779,87.973771
IV0152,1,1,71.009725,95.579925
IV0153,0,0,65.283423,73.507176
IV0154,1,1,55.093257,78.592719
IV0155,0,0,69.440926,79.360768
IV0156,1,1,57.851998,92.520182
IV0157,0,0,72.998603,87.772362
IV0158,1,0,60.649827,84.585988
IV0159,1,1,53.990581,89.742576
IV0160,1,1,74.246061,97.833974
IV0161,0,0,74.051625,97.989397
IV0162,0,1,49.000045,86.706057
IV0163,0,0,65.306122,84.941555
IV0164,1,1,58.800654,83.835726
